MI, 2813, 130, 676, 0, 105
MSI, 5313, 56, 676, 0, 5
MESI, 2865, 32, 676, 24, 5
MOSI, 5113, 56, 676, 0, 7
MOESI, 2665, 32, 676, 24, 7
MOESIF, 2665, 32, 676, 24, 7
